gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score,result,averages,math score_log,reading score_log,writing score_log,averages_log
female,Group C,bachelor's degree,free/reduced,completed,67.58453608247423,51.0,54.0,Pass,57.52817869415808,4.228067087782309,3.9512437185814275,4.007333185232471,4.069508325343455
female,Group C,some college,free/reduced,completed,67.58453608247423,73.0,70.0,Pass,70.19484536082474,4.228067087782309,4.30406509320417,4.2626798770413155,4.265420419179539
female,Group C,high school,free/reduced,none,67.58453608247423,53.0,43.0,Pass,54.52817869415808,4.228067087782309,3.9889840465642745,3.784189633918261,4.016890616123123
male,Group D,some high school,free/reduced,completed,67.58453608247423,79.0,79.0,Pass,75.19484536082474,4.228067087782309,4.382026634673881,4.382026634673881,4.333293814221092
male,Group D,associate's degree,standard,none,67.58453608247423,75.0,77.0,Pass,73.19484536082474,4.228067087782309,4.330733340286331,4.356708826689592,4.306694678229551
male,Group D,bachelor's degree,standard,completed,67.58453608247423,74.0,74.0,Pass,71.86151202749141,4.228067087782309,4.31748811353631,4.31748811353631,4.288560543869774
female,Group C,associate's degree,standard,none,67.58453608247423,59.0,51.0,Pass,59.19484536082475,4.228067087782309,4.0943445622221,3.9512437185814275,4.097586723413256
female,Group A,high school,free/reduced,completed,67.58453608247423,48.0,41.0,Pass,52.19484536082475,4.228067087782309,3.8918202981106265,3.7376696182833684,3.973961499939473
female,Group D,some college,free/reduced,none,67.58453608247423,58.0,60.0,Pass,61.861512027491415,4.228067087782309,4.07753744390572,4.110873864173311,4.140934084969591
male,Group B,some college,standard,none,62.0,61.0,57.0,Pass,60.0,4.143134726391533,4.127134385045092,4.060443010546419,4.110873864173311
male,Group D,some college,standard,completed,71.0,61.0,69.0,Pass,67.0,4.276666119016055,4.127134385045092,4.248495242049359,4.219507705176107
male,Group B,bachelor's degree,free/reduced,completed,62.0,63.0,56.0,Pass,60.333333333333336,4.143134726391533,4.1588830833596715,4.04305126783455,4.116323468940876
male,Group E,some college,standard,none,76.0,71.0,72.0,Pass,73.0,4.343805421853684,4.276666119016055,4.290459441148391,4.30406509320417
male,Group E,some college,standard,none,84.0,77.0,71.0,Pass,77.33333333333333,4.442651256490317,4.356708826689592,4.276666119016055,4.360973225476049
female,Group B,some college,free/reduced,none,45.0,53.0,55.0,Pass,51.0,3.828641396489095,3.9889840465642745,4.02535169073515,3.9512437185814275
male,Group D,associate's degree,free/reduced,none,77.0,78.0,73.0,Pass,76.0,4.356708826689592,4.3694478524670215,4.30406509320417,4.343805421853684
female,Group D,some college,standard,none,69.0,77.0,77.0,Pass,74.33333333333333,4.248495242049359,4.356708826689592,4.356708826689592,4.321922710604176
female,Group C,master's degree,standard,none,73.0,78.0,74.0,Pass,75.0,4.30406509320417,4.3694478524670215,4.31748811353631,4.330733340286331
female,Group C,some high school,free/reduced,none,30.0,31.5,28.0,Fail,30.166666666666654,3.4339872044851463,3.481240089335692,3.367295829986474,3.439349147626531
male,Group C,associate's degree,standard,completed,82.0,75.0,77.0,Pass,78.0,4.418840607796598,4.330733340286331,4.356708826689592,4.3694478524670215
male,Group B,some high school,standard,completed,65.0,66.0,62.0,Pass,64.33333333333333,4.189654742026425,4.204692619390966,4.143134726391533,4.179502370562408
male,Group D,bachelor's degree,standard,completed,67.0,61.0,68.0,Pass,65.33333333333333,4.219507705176107,4.127134385045092,4.23410650459726,4.194692536056382
female,Group A,some college,standard,none,54.0,63.0,67.0,Pass,61.333333333333336,4.007333185232471,4.1588830833596715,4.219507705176107,4.132496328186477
male,Group D,associate's degree,free/reduced,none,90.0,87.0,75.0,Pass,84.0,4.51085950651685,4.477336814478207,4.330733340286331,4.442651256490317
female,Group E,high school,standard,completed,59.0,63.0,75.0,Pass,65.66666666666667,4.0943445622221,4.1588830833596715,4.330733340286331,4.199705077879927
male,Group D,high school,free/reduced,none,74.0,69.06494845360825,69.0,Pass,70.68831615120276,4.31748811353631,4.249422646928029,4.248495242049359,4.272327779671552
female,Group C,high school,standard,none,30.0,31.5,30.0,Fail,30.166666666666654,3.4339872044851463,3.481240089335692,3.4339872044851463,3.439349147626531
male,Group D,some high school,standard,completed,89.0,88.0,82.0,Pass,86.33333333333333,4.499809670330265,4.48863636973214,4.418840607796598,4.4697322150929875
female,Group A,high school,standard,completed,75.0,82.0,79.0,Pass,78.66666666666667,4.330733340286331,4.418840607796598,4.382026634673881,4.377851263263401
male,Group B,some college,standard,completed,71.0,75.0,70.0,Pass,72.0,4.276666119016055,4.330733340286331,4.2626798770413155,4.290459441148391
female,Group D,associate's degree,standard,none,64.0,76.0,74.0,Pass,71.33333333333333,4.174387269895637,4.343805421853684,4.31748811353631,4.28128506487235
male,Group C,some college,standard,completed,79.0,79.0,78.0,Pass,78.66666666666667,4.382026634673881,4.382026634673881,4.3694478524670215,4.377851263263401
female,Group B,some college,free/reduced,completed,48.0,56.0,58.0,Pass,54.0,3.8918202981106265,4.04305126783455,4.07753744390572,4.007333185232471
female,Group C,some high school,standard,none,69.0,73.0,73.0,Pass,71.66666666666667,4.248495242049359,4.30406509320417,4.30406509320417,4.28588277412098
female,Group D,some college,standard,none,69.0,74.0,74.0,Pass,72.33333333333333,4.248495242049359,4.31748811353631,4.31748811353631,4.295015257684252
male,Group D,bachelor's degree,standard,none,88.0,78.0,83.0,Pass,83.0,4.48863636973214,4.3694478524670215,4.430816798843313,4.430816798843313
male,Group C,associate's degree,standard,none,100.0,54.0,52.0,Pass,102.0,4.61512051684126,4.007333185232471,3.970291913552122,4.634728988229636
male,Group B,associate's degree,standard,none,87.0,85.0,73.0,Pass,81.66666666666667,4.477336814478207,4.454347296253507,4.30406509320417,4.4148164574968725
female,Group A,some high school,standard,completed,85.0,90.0,92.0,Pass,89.0,4.454347296253507,4.51085950651685,4.532599493153256,4.499809670330265
male,Group A,some high school,standard,completed,46.0,41.0,43.0,Pass,43.333333333333336,3.8501476017100584,3.7376696182833684,3.784189633918261,3.791736839553644
female,Group C,some high school,free/reduced,completed,71.0,84.0,87.0,Pass,80.66666666666667,4.276666119016055,4.442651256490317,4.477336814478207,4.402645921876617
female,Group C,associate's degree,standard,none,81.0,77.0,79.0,Pass,79.0,4.406719247264253,4.356708826689592,4.382026634673881,4.382026634673881
female,Group B,some college,free/reduced,none,58.0,61.0,67.99896907216495,Pass,62.332989690721654,4.07753744390572,4.127134385045092,4.234091563502525,4.148406357541682
male,Group D,master's degree,free/reduced,completed,84.0,89.0,90.0,Pass,87.66666666666667,4.442651256490317,4.499809670330265,4.51085950651685,4.484884020113589
female,Group C,bachelor's degree,free/reduced,completed,66.0,69.06494845360825,81.0,Pass,72.02164948453608,4.204692619390966,4.249422646928029,4.406719247264253,4.2907559654620275
female,Group D,some college,free/reduced,none,55.0,71.0,69.0,Pass,65.0,4.02535169073515,4.276666119016055,4.248495242049359,4.189654742026425
male,Group C,high school,free/reduced,none,59.0,53.0,52.0,Pass,54.666666666666664,4.0943445622221,3.9889840465642745,3.970291913552122,4.019381523748645
female,Group D,some college,free/reduced,completed,58.0,69.06494845360825,73.0,Pass,66.68831615120276,4.07753744390572,4.249422646928029,4.30406509320417,4.214913582324014
female,Group D,associate's degree,standard,none,82.0,95.0,89.0,Pass,88.66666666666667,4.418840607796598,4.564348191467836,4.499809670330265,4.496099090933729
male,Group E,associate's degree,standard,completed,66.0,63.0,64.0,Pass,64.33333333333333,4.204692619390966,4.1588830833596715,4.174387269895637,4.179502370562408
female,Group C,bachelor's degree,standard,none,81.0,88.0,90.0,Pass,86.33333333333333,4.406719247264253,4.48863636973214,4.51085950651685,4.4697322150929875
male,Group C,some college,free/reduced,none,58.0,57.0,54.0,Pass,56.333333333333336,4.07753744390572,4.060443010546419,4.007333185232471,4.048882188145344
female,Group A,associate's degree,free/reduced,none,37.0,57.0,56.0,Pass,50.0,3.6375861597263857,4.060443010546419,4.04305126783455,3.9318256327243257
male,Group C,some high school,standard,completed,63.0,60.0,57.0,Pass,60.0,4.1588830833596715,4.110873864173311,4.060443010546419,4.110873864173311
male,Group E,some high school,standard,completed,77.0,76.0,77.0,Pass,76.66666666666667,4.356708826689592,4.343805421853684,4.356708826689592,4.352426164897591
female,Group D,some college,standard,completed,85.0,86.0,98.0,Pass,89.66666666666667,4.454347296253507,4.465908118654584,4.59511985013459,4.507189777627888
male,Group B,associate's degree,free/reduced,none,57.0,56.0,67.99896907216495,Pass,60.332989690721654,4.060443010546419,4.04305126783455,4.234091563502525,4.116317866056511
female,Group A,some high school,standard,none,48.0,66.0,65.0,Pass,59.666666666666664,3.8918202981106265,4.204692619390966,4.189654742026425,4.105394398408686
male,Group C,some high school,standard,none,51.0,52.0,44.0,Pass,49.0,3.9512437185814275,3.970291913552122,3.8066624897703196,3.912023005428146
male,Group D,some college,free/reduced,none,63.0,61.0,60.0,Pass,61.333333333333336,4.1588830833596715,4.127134385045092,4.110873864173311,4.132496328186477
male,Group D,some high school,free/reduced,none,45.0,69.06494845360825,37.0,Pass,50.35498281786942,3.828641396489095,4.249422646928029,3.6375861597263857,3.9387619680420993
male,Group C,bachelor's degree,standard,none,83.0,78.0,73.0,Pass,78.0,4.430816798843313,4.3694478524670215,4.30406509320417,4.3694478524670215
female,Group C,some college,standard,none,60.0,72.0,74.0,Pass,68.66666666666667,4.110873864173311,4.290459441148391,4.31748811353631,4.243721963296702
male,Group B,bachelor's degree,standard,none,63.0,71.0,69.0,Pass,67.66666666666667,4.1588830833596715,4.276666119016055,4.248495242049359,4.229263880121471
female,Group C,high school,free/reduced,none,62.0,67.0,64.0,Pass,64.33333333333333,4.143134726391533,4.219507705176107,4.174387269895637,4.179502370562408
female,Group D,some college,standard,completed,68.0,78.0,77.0,Pass,74.33333333333333,4.23410650459726,4.3694478524670215,4.356708826689592,4.321922710604176
female,Group B,some high school,standard,completed,60.0,70.0,74.0,Pass,68.0,4.110873864173311,4.2626798770413155,4.31748811353631,4.23410650459726
female,Group C,some high school,standard,completed,77.0,90.0,85.0,Pass,84.0,4.356708826689592,4.51085950651685,4.454347296253507,4.442651256490317
male,Group A,some college,free/reduced,none,30.0,31.5,28.0,Fail,30.166666666666654,3.4339872044851463,3.481240089335692,3.367295829986474,3.439349147626531
male,Group C,master's degree,free/reduced,none,79.0,81.0,71.0,Pass,77.0,4.382026634673881,4.406719247264253,4.276666119016055,4.356708826689592
female,Group E,some college,standard,none,100.0,92.0,97.0,Pass,96.33333333333333,4.61512051684126,4.532599493153256,4.584967478670572,4.578141513600172
female,Group D,bachelor's degree,standard,none,69.0,58.0,57.0,Pass,61.333333333333336,4.248495242049359,4.07753744390572,4.060443010546419,4.132496328186477
male,Group B,high school,free/reduced,none,66.0,77.0,70.0,Pass,71.0,4.204692619390966,4.356708826689592,4.2626798770413155,4.276666119016055
female,Group B,some college,standard,none,30.0,38.0,32.0,Fail,30.166666666666654,3.4339872044851463,3.6635616461296463,3.4965075614664802,3.439349147626531
male,Group D,associate's degree,standard,none,75.0,68.0,64.0,Pass,69.0,4.330733340286331,4.23410650459726,4.174387269895637,4.248495242049359
male,Group D,some college,standard,none,60.0,63.0,59.0,Pass,60.666666666666664,4.110873864173311,4.1588830833596715,4.0943445622221,4.121743536410215
female,Group A,some college,standard,none,58.0,70.0,67.0,Pass,65.0,4.07753744390572,4.2626798770413155,4.219507705176107,4.189654742026425
female,Group C,associate's degree,standard,none,69.0,80.0,71.0,Pass,73.33333333333333,4.248495242049359,4.394449154672439,4.276666119016055,4.308559482792009
female,Group C,associate's degree,free/reduced,completed,56.0,68.0,70.0,Pass,64.66666666666667,4.04305126783455,4.23410650459726,4.2626798770413155,4.1845914400698785
male,Group C,associate's degree,standard,completed,73.0,78.0,72.0,Pass,74.33333333333333,4.30406509320417,4.3694478524670215,4.290459441148391,4.321922710604176
male,Group E,some college,standard,none,66.0,57.0,52.0,Pass,58.333333333333336,4.204692619390966,4.060443010546419,3.970291913552122,4.083171261623976
male,Group A,associate's degree,standard,none,67.0,57.0,53.0,Pass,59.0,4.219507705176107,4.060443010546419,3.9889840465642745,4.0943445622221
female,Group C,associate's degree,free/reduced,none,64.0,73.0,68.0,Pass,68.33333333333333,4.174387269895637,4.30406509320417,4.23410650459726,4.238925791033208
male,Group A,high school,standard,none,71.0,74.0,64.0,Pass,69.66666666666667,4.276666119016055,4.31748811353631,4.174387269895637,4.257973986003903
male,Group B,high school,standard,none,70.0,65.0,60.0,Pass,65.0,4.2626798770413155,4.189654742026425,4.110873864173311,4.189654742026425
male,Group E,associate's degree,standard,none,53.0,45.0,40.0,Pass,46.0,3.9889840465642745,3.828641396489095,3.713572066704308,3.8501476017100584
male,Group C,high school,standard,none,75.0,81.0,71.0,Pass,75.66666666666667,4.330733340286331,4.406719247264253,4.276666119016055,4.339467020255086
female,Group B,high school,standard,completed,68.0,83.0,78.0,Pass,76.33333333333333,4.23410650459726,4.430816798843313,4.3694478524670215,4.3481250829982
female,Group C,high school,standard,none,44.0,61.0,52.0,Pass,52.333333333333336,3.8066624897703196,4.127134385045092,3.970291913552122,3.9765615265657175
female,Group D,bachelor's degree,free/reduced,none,30.0,41.0,47.0,Fail,39.0,3.4339872044851463,3.7376696182833684,3.871201010907891,3.6888794541139363
female,Group B,high school,free/reduced,none,71.0,87.0,82.0,Pass,80.0,4.276666119016055,4.477336814478207,4.418840607796598,4.394449154672439
male,Group A,high school,standard,none,57.0,51.0,54.0,Pass,54.0,4.060443010546419,3.9512437185814275,4.007333185232471,4.007333185232471
female,Group A,bachelor's degree,standard,none,45.0,59.0,64.0,Pass,56.0,3.828641396489095,4.0943445622221,4.174387269895637,4.04305126783455
female,Group C,some college,free/reduced,none,76.0,83.0,88.0,Pass,82.33333333333333,4.343805421853684,4.430816798843313,4.48863636973214,4.422848629194137
male,Group C,high school,standard,none,61.0,56.0,55.0,Pass,57.333333333333336,4.127134385045092,4.04305126783455,4.02535169073515,4.0661736852554045
male,Group C,some high school,free/reduced,completed,45.0,52.0,49.0,Pass,48.666666666666664,3.828641396489095,3.970291913552122,3.912023005428146,3.905334017277349
male,Group D,high school,standard,completed,55.0,41.0,48.0,Pass,48.0,4.02535169073515,3.7376696182833684,3.8918202981106265,3.8918202981106265
male,Group B,high school,standard,completed,73.0,69.0,68.0,Pass,70.0,4.30406509320417,4.248495242049359,4.23410650459726,4.2626798770413155
male,Group D,high school,free/reduced,completed,78.0,77.0,80.0,Pass,78.33333333333333,4.3694478524670215,4.356708826689592,4.394449154672439,4.373658385003365
female,Group A,master's degree,free/reduced,none,50.0,67.0,73.0,Pass,63.333333333333336,3.9318256327243257,4.219507705176107,4.30406509320417,4.164077900236776
female,Group C,some college,free/reduced,none,62.0,67.0,62.0,Pass,63.666666666666664,4.143134726391533,4.219507705176107,4.143134726391533,4.169245870395218
male,Group D,master's degree,standard,none,81.0,81.0,84.0,Pass,82.0,4.406719247264253,4.406719247264253,4.442651256490317,4.418840607796598
female,Group C,some high school,free/reduced,completed,64.0,79.0,77.0,Pass,73.33333333333333,4.174387269895637,4.382026634673881,4.356708826689592,4.308559482792009
female,Group D,some high school,standard,completed,64.0,60.0,74.0,Pass,66.0,4.174387269895637,4.110873864173311,4.31748811353631,4.204692619390966
male,Group D,some high school,standard,none,73.0,66.0,62.0,Pass,67.0,4.30406509320417,4.204692619390966,4.143134726391533,4.219507705176107
female,Group D,associate's degree,standard,completed,73.0,75.0,80.0,Pass,76.0,4.30406509320417,4.330733340286331,4.394449154672439,4.343805421853684
female,Group C,some high school,standard,completed,67.0,74.0,77.0,Pass,72.66666666666667,4.219507705176107,4.31748811353631,4.356708826689592,4.299550412849643
male,Group B,associate's degree,standard,none,61.0,42.0,41.0,Pass,48.0,4.127134385045092,3.7612001156935624,3.7376696182833684,3.8918202981106265
male,Group C,some high school,standard,completed,67.0,73.0,68.0,Pass,69.33333333333333,4.219507705176107,4.30406509320417,4.23410650459726,4.253245844807957
female,Group D,some high school,standard,none,65.0,82.0,81.0,Pass,76.0,4.189654742026425,4.418840607796598,4.406719247264253,4.343805421853684
male,Group D,associate's degree,standard,none,80.0,75.0,69.0,Pass,74.66666666666667,4.394449154672439,4.330733340286331,4.248495242049359,4.326337728813293
male,Group D,some high school,free/reduced,none,59.0,42.0,41.0,Pass,47.333333333333336,4.0943445622221,3.7612001156935624,3.7376696182833684,3.8781214537524646
female,Group E,master's degree,standard,completed,88.0,99.0,95.0,Pass,94.0,4.48863636973214,4.605170185988092,4.564348191467836,4.553876891600541
female,Group C,associate's degree,standard,none,62.0,74.0,70.0,Pass,68.66666666666667,4.143134726391533,4.31748811353631,4.2626798770413155,4.243721963296702
female,Group C,high school,free/reduced,none,33.0,41.0,43.0,Fail,39.0,3.5263605246161616,3.7376696182833684,3.784189633918261,3.6888794541139363
female,Group C,bachelor's degree,standard,completed,79.0,92.0,89.0,Pass,86.66666666666667,4.382026634673881,4.532599493153256,4.499809670330265,4.473541743509655
male,Group B,some high school,standard,completed,84.0,83.0,75.0,Pass,80.66666666666667,4.442651256490317,4.430816798843313,4.330733340286331,4.402645921876617
female,Group A,master's degree,free/reduced,none,73.0,74.0,72.0,Pass,73.0,4.30406509320417,4.31748811353631,4.290459441148391,4.30406509320417
female,Group A,associate's degree,free/reduced,none,41.0,51.0,48.0,Pass,46.666666666666664,3.7376696182833684,3.9512437185814275,3.8918202981106265,3.8642323415917974
female,Group E,associate's degree,free/reduced,none,50.0,56.0,54.0,Pass,53.333333333333336,3.9318256327243257,4.04305126783455,4.007333185232471,3.9951379121386528
female,Group B,high school,standard,completed,58.0,70.0,68.0,Pass,65.33333333333333,4.07753744390572,4.2626798770413155,4.23410650459726,4.194692536056382
male,Group D,some high school,free/reduced,completed,55.0,59.0,59.0,Pass,57.666666666666664,4.02535169073515,4.0943445622221,4.0943445622221,4.071871706370042
male,Group D,high school,standard,none,45.0,48.0,46.0,Pass,46.333333333333336,3.828641396489095,3.8918202981106265,3.8501476017100584,3.8572147689331513
male,Group D,some high school,standard,completed,88.0,74.0,75.0,Pass,79.0,4.48863636973214,4.31748811353631,4.330733340286331,4.382026634673881
female,Group B,associate's degree,free/reduced,none,46.0,61.0,55.0,Pass,54.0,3.8501476017100584,4.127134385045092,4.02535169073515,4.007333185232471
male,Group A,some high school,standard,none,51.0,31.5,36.0,Fail,39.333333333333336,3.9512437185814275,3.481240089335692,3.6109179126442243,3.6971782569286313
male,Group D,some high school,standard,none,75.0,74.0,69.0,Pass,72.66666666666667,4.330733340286331,4.31748811353631,4.248495242049359,4.299550412849643
male,Group E,some college,free/reduced,completed,49.0,52.0,67.99896907216495,Pass,56.332989690721654,3.912023005428146,3.970291913552122,4.234091563502525,4.048876194360898
female,Group E,high school,free/reduced,none,75.0,86.0,79.0,Pass,80.0,4.330733340286331,4.465908118654584,4.382026634673881,4.394449154672439
female,Group E,high school,standard,completed,74.0,79.0,80.0,Pass,77.66666666666667,4.31748811353631,4.382026634673881,4.394449154672439,4.3652195163575005
female,Group B,associate's degree,standard,completed,61.0,86.0,87.0,Pass,78.0,4.127134385045092,4.465908118654584,4.477336814478207,4.3694478524670215
male,Group C,associate's degree,standard,none,62.0,65.0,58.0,Pass,61.666666666666664,4.143134726391533,4.189654742026425,4.07753744390572,4.137829674161839
male,Group C,some high school,free/reduced,none,68.0,63.0,54.0,Pass,61.666666666666664,4.23410650459726,4.1588830833596715,4.007333185232471,4.137829674161839
female,Group D,master's degree,standard,none,78.0,91.0,96.0,Pass,88.33333333333333,4.3694478524670215,4.5217885770490405,4.574710978503383,4.4923746918427465
female,Group E,some college,standard,none,71.0,70.0,76.0,Pass,72.33333333333333,4.276666119016055,4.2626798770413155,4.343805421853684,4.295015257684252
female,Group D,high school,free/reduced,none,49.0,57.0,52.0,Pass,52.666666666666664,3.912023005428146,4.060443010546419,3.970291913552122,3.982792076316353
female,Group A,bachelor's degree,standard,none,59.0,72.0,70.0,Pass,67.0,4.0943445622221,4.290459441148391,4.2626798770413155,4.219507705176107
male,Group E,bachelor's degree,free/reduced,completed,79.0,74.0,72.0,Pass,75.0,4.382026634673881,4.31748811353631,4.290459441148391,4.330733340286331
female,Group E,associate's degree,standard,none,51.0,51.0,54.0,Pass,52.0,3.9512437185814275,3.9512437185814275,4.007333185232471,3.970291913552122
female,Group C,bachelor's degree,standard,completed,56.0,79.0,72.0,Pass,69.0,4.04305126783455,4.382026634673881,4.290459441148391,4.248495242049359
male,Group B,high school,standard,completed,76.0,62.0,60.0,Pass,66.0,4.343805421853684,4.143134726391533,4.110873864173311,4.204692619390966
female,Group D,some college,standard,completed,69.0,79.0,81.0,Pass,76.33333333333333,4.248495242049359,4.382026634673881,4.406719247264253,4.3481250829982
male,Group C,some high school,free/reduced,completed,51.0,56.0,53.0,Pass,53.333333333333336,3.9512437185814275,4.04305126783455,3.9889840465642745,3.9951379121386528
male,Group D,some college,standard,completed,82.0,82.0,88.0,Pass,84.0,4.418840607796598,4.418840607796598,4.48863636973214,4.442651256490317
male,Group C,some college,standard,none,73.0,74.0,61.0,Pass,69.33333333333333,4.30406509320417,4.31748811353631,4.127134385045092,4.253245844807957
male,Group C,high school,free/reduced,completed,40.0,46.0,67.99896907216495,Pass,51.332989690721654,3.713572066704308,3.8501476017100584,4.234091563502525,3.957626950239308
male,Group E,some college,free/reduced,none,93.0,90.0,83.0,Pass,88.66666666666667,4.543294782270004,4.51085950651685,4.430816798843313,4.496099090933729
female,Group C,bachelor's degree,standard,completed,59.0,69.06494845360825,75.0,Pass,67.68831615120276,4.0943445622221,4.249422646928029,4.330733340286331,4.2295791141853725
female,Group B,associate's degree,standard,none,73.0,76.0,80.0,Pass,76.33333333333333,4.30406509320417,4.343805421853684,4.394449154672439,4.3481250829982
male,Group B,some high school,standard,completed,85.0,69.06494845360825,78.0,Pass,77.35498281786941,4.454347296253507,4.249422646928029,4.3694478524670215,4.361249563689461
male,Group E,associate's degree,standard,none,76.0,71.0,67.0,Pass,71.33333333333333,4.343805421853684,4.276666119016055,4.219507705176107,4.28128506487235
female,Group D,associate's degree,free/reduced,completed,77.0,89.0,98.0,Pass,88.0,4.356708826689592,4.499809670330265,4.59511985013459,4.48863636973214
female,Group D,some college,free/reduced,completed,67.0,86.0,83.0,Pass,78.66666666666667,4.219507705176107,4.465908118654584,4.430816798843313,4.377851263263401
male,Group D,some college,free/reduced,none,61.0,47.0,56.0,Pass,54.666666666666664,4.127134385045092,3.871201010907891,4.04305126783455,4.019381523748645
female,Group D,some high school,free/reduced,none,30.0,34.0,32.0,Fail,31.0,3.4339872044851463,3.5553480614894135,3.4965075614664802,3.4657359027997265
male,Group D,high school,standard,none,54.0,52.0,52.0,Pass,52.666666666666664,4.007333185232471,3.970291913552122,3.970291913552122,3.982792076316353
female,Group C,master's degree,free/reduced,completed,65.0,81.0,81.0,Pass,75.66666666666667,4.189654742026425,4.406719247264253,4.406719247264253,4.339467020255086
female,Group E,associate's degree,standard,none,87.0,94.0,95.0,Pass,92.0,4.477336814478207,4.553876891600541,4.564348191467836,4.532599493153256
female,Group C,some high school,standard,completed,70.0,82.0,76.0,Pass,76.0,4.2626798770413155,4.418840607796598,4.343805421853684,4.343805421853684
female,Group B,high school,standard,none,54.0,64.0,68.0,Pass,62.0,4.007333185232471,4.174387269895637,4.23410650459726,4.143134726391533
female,Group C,high school,free/reduced,none,66.0,76.0,68.0,Pass,70.0,4.204692619390966,4.343805421853684,4.23410650459726,4.2626798770413155
female,Group D,master's degree,free/reduced,completed,85.0,95.0,100.0,Pass,93.33333333333333,4.454347296253507,4.564348191467836,4.61512051684126,4.546834608975128
male,Group C,some high school,free/reduced,completed,56.0,61.0,60.0,Pass,59.0,4.04305126783455,4.127134385045092,4.110873864173311,4.0943445622221
male,Group E,master's degree,standard,none,90.0,85.0,84.0,Pass,86.33333333333333,4.51085950651685,4.454347296253507,4.442651256490317,4.4697322150929875
male,Group E,high school,standard,none,100.0,55.0,56.0,Pass,103.66666666666667,4.61512051684126,4.02535169073515,4.04305126783455,4.650780697240144
female,Group B,bachelor's degree,standard,none,61.0,72.0,67.99896907216495,Pass,66.99965635738832,4.127134385045092,4.290459441148391,4.234091563502525,4.219502651595518
male,Group A,bachelor's degree,free/reduced,completed,49.0,58.0,60.0,Pass,55.666666666666664,3.912023005428146,4.07753744390572,4.110873864173311,4.037186148382152
male,Group C,high school,standard,none,81.0,66.0,64.0,Pass,70.33333333333333,4.406719247264253,4.204692619390966,4.174387269895637,4.267363726353742
